Team,Score,Average,Batting Order,Inns,Captain
Bangladesh,102,107.37,3,2,No
Australia,118,97.52,3,2,No
New Zealand,105,100.96,3,1,No
Bangladesh,100,120.48,4,1,No
England,107,115.05,4,1,No
England,112,114.28,4,2,No
West Indies,117,95.12,4,2,No
Pakistan,183,123.64,3,2,No
West Indies,102,122.89,3,1,Yes
Zimbabwe,115,106.48,3,2,Yes
Australia,100,192.3,3,2,No
Australia,115,174.24,3,2,No
New Zealand,123,110.81,3,2,No
Bangladesh,136,111.47,3,2,Yes
West Indies,127,111.4,3,1,No
SriLanka,139,110.31,4,2,Yes
Pakistan,107,84.9,3,1,No
South Africa,138,98.57,3,1,No
Australia,117,100,3,1,No
Australia,106,115.21,3,2,No
New Zealand,154,114.92,3,2,No
England,122,116.19,3,2,Yes
West Indies,111,96.52,3,2,Yes
New Zealand,121,96.8,3,1,Yes
New Zealand,113,106.6,3,1,Yes
South Africa,112,94.11,3,2,Yes
South Africa,160,100.62,3,1,Yes
South Africa,129,134.37,3,2,Yes
West Indies,140,130.84,3,2,Yes
West Indies,157,121.71,3,1,Yes
West Indies,107,89.91,3,2,Yes
Australia,104,92.85,3,2,Yes
Australia,116,96.67,3,1,Yes
Australia,123,129.47,3,2,Yes
West Indies,120,96,3,1,Yes
West Indies,114,115.15,3,2,Yes
Afganistan,122,200,1,1,No
Australia,116,,6,2,No
New Zealand,103,,5,2,No
England,103,,5,2,No
Australia,107,,5,2,No
South Africa,119,,4,1,No
New Zealand,105,,4,4,No
Australia,115,,4,2,No
Australia,141,,4,4,Yes
Australia,169,,4,2,Yes
Australia,147,,4,2,No
West Indies,200,,4,1,Yes
New Zealand,211,,4,1,Yes
England,167,,4,1,Yes
England,235,,4,2,Yes
Bangladesh,204,,4,1,Yes
South Africa,153,,4,2,Yes
England,149,,4,2,Yes
England,103,,4,3,Yes
West Indies,139,,4,1,Yes
Australia,123,,4,2,Yes
South Africa,254,,4,1,Yes
Bangladesh,136,,4,2,Yes
